Hour,SessionHostName,network_TotalConnections,network_SuccessRate,network_UniqueUsers,network_AvgRttMs,network_QueuedUsers,capacity_ActiveSessions,capacity_MaxSessionLimit,capacity_UtilizationPct,capacity_IsHealthy,fslogix_TotalEvents,fslogix_ErrorCount,hygiene_DisconnectEventCount,hygiene_AvgDisconnectedSessionDurationMinutes,hygiene_MaxDisconnectedSessionDurationMinutes,RTT,HeartbeatGap,QueuedUsers,FSLogixErrors,DiskFreePercent,TempCacheGB,DisconnectedSessions,SourceHasRTT,SourceHasHeartbeatGap,SourceHasQueuedUsers,SourceHasDisk,anomaly,IsAnomaly,AnomalyScore,avg_rtt,tcp_fallback_count,heartbeat_gap,queued_users,login_failures,fslogix_errors,disk_free,temp_profile_cache,disconnected_sessions,client_version,network_issue,session_host_issue,capacity_issue,fslogix_issue,disk_issue,hygiene_issue,client_issue,has_issue
2026-01-19 07:00:00+00:00,Client,,,,,,,,,,,,31.0,,,50.0,0.0,0.0,0.0,50.0,0.0,31.0,0,0,0,0,-1,True,0.8162979184403182,,0.0,,0.0,0.0,0.0,,0.0,31.0,,False,False,False,False,False,True,False,True
2026-01-19 08:00:00+00:00,Client,,,,,,,,,,,,38.0,,,50.0,0.0,0.0,0.0,50.0,0.0,38.0,0,0,0,0,-1,True,0.8285393103789711,,0.0,,0.0,0.0,0.0,,0.0,38.0,,False,False,False,False,False,True,False,True
2026-01-19 10:00:00+00:00,Client,,,,,,,,,,2.0,2.0,26.0,,,50.0,0.0,0.0,2.0,50.0,0.0,26.0,0,0,0,0,-1,True,0.8246245395654964,,0.0,,0.0,0.0,2.0,,0.0,26.0,,False,False,False,True,False,False,False,True
2026-01-19 13:00:00+00:00,Client,,,,,,,,,,,,43.0,,,50.0,0.0,0.0,0.0,50.0,0.0,43.0,0,0,0,0,-1,True,0.8313469485197347,,0.0,,0.0,0.0,0.0,,0.0,43.0,,False,False,False,False,False,True,False,True
2026-01-19 14:00:00+00:00,Client,,,,,,,,,,1.0,1.0,24.0,,,50.0,0.0,0.0,1.0,50.0,0.0,24.0,0,0,0,0,-1,True,0.8135411041233598,,0.0,,0.0,0.0,1.0,,0.0,24.0,,False,False,False,True,False,False,False,True
2026-01-20 08:00:00+00:00,Client,,,,,,,,,,1.0,1.0,19.0,,,50.0,0.0,0.0,1.0,50.0,0.0,19.0,0,0,0,0,-1,True,0.7961166264899622,,0.0,,0.0,0.0,1.0,,0.0,19.0,,False,False,False,True,False,False,False,True
2026-01-20 11:00:00+00:00,Client,,,,,,,,,,,,43.0,,,50.0,0.0,0.0,0.0,50.0,0.0,43.0,0,0,0,0,-1,True,0.8313469485197347,,0.0,,0.0,0.0,0.0,,0.0,43.0,,False,False,False,False,False,True,False,True
2026-01-20 12:00:00+00:00,Client,,,,,,,,,,,,46.0,,,50.0,0.0,0.0,0.0,50.0,0.0,46.0,0,0,0,0,-1,True,0.8313469485197347,,0.0,,0.0,0.0,0.0,,0.0,46.0,,False,False,False,False,False,True,False,True
2026-01-20 13:00:00+00:00,Client,,,,,,,,,,,,35.0,,,50.0,0.0,0.0,0.0,50.0,0.0,35.0,0,0,0,0,-1,True,0.8223958380295531,,0.0,,0.0,0.0,0.0,,0.0,35.0,,False,False,False,False,False,True,False,True
2026-01-20 14:00:00+00:00,Client,,,,,,,,,,,,33.0,,,50.0,0.0,0.0,0.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8196184297215438,,0.0,,0.0,0.0,0.0,,0.0,33.0,,False,False,False,False,False,True,False,True
